"Borough","Hour","Date","Cars_And_Taxis","Motorbikes","Buses_and_Coaches","LGVs","HGVs","All_Vehicles"
"Hounslow","11:00:00","2018-03-16",2059,47,22,467,130,2725
"Lambeth","11:00:00","2018-03-16",660,67,59,405,58,1249
"Newham","11:00:00","2018-03-16",37,0,0,5,1,43
"Southwark","11:00:00","2018-03-16",320,43,19,198,44,624
"Bexley","12:00:00","2018-03-16",4472,43,21,1106,515,6157
"Croydon","12:00:00","2018-03-16",22,1,0,2,1,26
"Ealing","12:00:00","2018-03-16",604,11,40,151,14,820
"Greenwich","12:00:00","2018-03-16",7,1,0,6,0,14
"Hillingdon","12:00:00","2018-03-16",35,1,0,4,0,40
"Hounslow","12:00:00","2018-03-16",2028,49,25,455,134,2691
"Lambeth","12:00:00","2018-03-16",631,66,59,360,48,1164
"Newham","12:00:00","2018-03-16",16,5,0,4,0,25
"Southwark","12:00:00","2018-03-16",307,31,19,193,39,589
"Bexley","13:00:00","2018-03-16",4703,45,20,1186,458,6412
"Croydon","13:00:00","2018-03-16",16,0,0,5,0,21
"Ealing","13:00:00","2018-03-16",566,13,34,119,10,742
"Greenwich","13:00:00","2018-03-16",34,3,0,9,0,46
"Hillingdon","13:00:00","2018-03-16",34,0,0,1,0,35
"Hounslow","13:00:00","2018-03-16",2194,48,25,480,134,2881
"Lambeth","13:00:00","2018-03-16",649,72,49,340,49,1159
"Newham","13:00:00","2018-03-16",28,3,0,5,0,36
"Southwark","13:00:00","2018-03-16",291,59,21,215,23,609
"Croydon","14:00:00","2018-03-16",18,0,0,2,1,21
"Ealing","14:00:00","2018-03-16",616,17,38,141,6,818
"Greenwich","14:00:00","2018-03-16",23,0,0,5,0,28
"Hillingdon","14:00:00","2018-03-16",29,0,0,5,1,35
"Hounslow","14:00:00","2018-03-16",2383,38,29,496,121,3067
"Lambeth","14:00:00","2018-03-16",776,93,63,417,45,1394
"Newham","14:00:00","2018-03-16",22,0,0,5,0,27
"Southwark","14:00:00","2018-03-16",358,71,17,193,29,668
"Croydon","15:00:00","2018-03-16",44,1,0,5,0,50
"Ealing","15:00:00","2018-03-16",694,9,42,111,7,863
"Greenwich","15:00:00","2018-03-16",10,0,0,4,0,14
"Hillingdon","15:00:00","2018-03-16",47,0,0,3,0,50
"Hounslow","15:00:00","2018-03-16",2440,60,29,445,88,3062
"Lambeth","15:00:00","2018-03-16",786,104,56,353,31,1330
"Newham","15:00:00","2018-03-16",54,4,0,8,0,66
"Southwark","15:00:00","2018-03-16",384,77,21,206,28,716
"Croydon","16:00:00","2018-03-16",34,0,0,6,0,40
"Ealing","16:00:00","2018-03-16",764,25,40,95,6,930
"Greenwich","16:00:00","2018-03-16",14,0,0,6,0,20
"Hillingdon","16:00:00","2018-03-16",47,0,0,6,0,53
"Hounslow","16:00:00","2018-03-16",2550,69,30,387,70,3106
"Lambeth","16:00:00","2018-03-16",860,141,68,318,11,1398
"Newham","16:00:00","2018-03-16",22,2,0,2,0,26
"Southwark","16:00:00","2018-03-16",427,94,24,228,18,791
"Croydon","17:00:00","2018-03-16",35,2,0,10,0,47
"Ealing","17:00:00","2018-03-16",705,31,35,74,3,848
"Greenwich","17:00:00","2018-03-16",24,0,0,1,0,25
"Hillingdon","17:00:00","2018-03-16",46,2,0,4,0,52
"Hounslow","17:00:00","2018-03-16",2613,80,25,291,51,3060
"Lambeth","17:00:00","2018-03-16",852,241,62,250,8,1413
"Newham","17:00:00","2018-03-16",39,2,0,14,0,55
"Southwark","17:00:00","2018-03-16",389,107,20,122,13,651
"Croydon","18:00:00","2018-03-16",44,0,0,8,0,52
"Ealing","18:00:00","2018-03-16",700,22,38,60,1,821
"Greenwich","18:00:00","2018-03-16",12,0,0,0,0,12
"Hillingdon","18:00:00","2018-03-16",33,1,0,2,0,36
"Hounslow","18:00:00","2018-03-16",3165,70,24,229,30,3518
"Lambeth","18:00:00","2018-03-16",948,214,53,178,4,1397
"Newham","18:00:00","2018-03-16",32,0,0,2,0,34
"Southwark","18:00:00","2018-03-16",782,118,29,96,14,1039
"Bexley","07:00:00","2018-03-19",308,0,26,58,4,396
"Enfield","07:00:00","2018-03-19",709,1,2,119,9,840
"Haringey","07:00:00","2018-03-19",38,0,0,9,6,53
"Harrow","07:00:00","2018-03-19",51,0,0,1,0,52
"Bexley","08:00:00","2018-03-19",392,3,20,55,0,470
"Enfield","08:00:00","2018-03-19",1121,3,2,96,9,1231
"Haringey","08:00:00","2018-03-19",77,0,0,17,10,104
"Harrow","08:00:00","2018-03-19",165,0,0,9,0,174
"Bexley","09:00:00","2018-03-19",285,0,29,50,4,368
"Enfield","09:00:00","2018-03-19",607,1,1,110,20,739
"Haringey","09:00:00","2018-03-19",41,0,0,15,10,66
"Harrow","09:00:00","2018-03-19",68,0,0,7,1,76
"Bexley","10:00:00","2018-03-19",272,0,22,48,6,348
"Enfield","10:00:00","2018-03-19",468,1,0,79,20,568
"Haringey","10:00:00","2018-03-19",36,0,0,13,7,56
"Harrow","10:00:00","2018-03-19",52,1,0,3,0,56
"Bexley","11:00:00","2018-03-19",297,3,23,54,3,380
"Enfield","11:00:00","2018-03-19",482,2,1,78,16,579
"Haringey","11:00:00","2018-03-19",36,0,0,14,11,61
"Harrow","11:00:00","2018-03-19",70,0,0,6,0,76
"Bexley","12:00:00","2018-03-19",330,2,20,66,8,426
"Enfield","12:00:00","2018-03-19",499,2,3,77,14,595
"Haringey","12:00:00","2018-03-19",32,0,0,16,11,59
"Harrow","12:00:00","2018-03-19",55,1,0,7,0,63
"Bexley","13:00:00","2018-03-19",348,5,20,43,7,423
"Enfield","13:00:00","2018-03-19",442,2,1,88,10,543
"Haringey","13:00:00","2018-03-19",46,0,1,15,8,70
"Harrow","13:00:00","2018-03-19",53,0,0,15,0,68
"Bexley","14:00:00","2018-03-19",356,5,23,71,4,459
"Enfield","14:00:00","2018-03-19",612,2,4,77,6,701
"Haringey","14:00:00","2018-03-19",46,0,1,11,5,63
"Harrow","14:00:00","2018-03-19",73,1,0,10,0,84
"Bexley","15:00:00","2018-03-19",392,3,22,56,5,478
"Enfield","15:00:00","2018-03-19",797,4,3,77,14,895
"Haringey","15:00:00","2018-03-19",45,0,1,12,2,60
"Harrow","15:00:00","2018-03-19",128,0,0,13,1,142
"Bexley","16:00:00","2018-03-19",385,9,24,63,2,483
"Enfield","16:00:00","2018-03-19",782,10,0,93,2,887
"Haringey","16:00:00","2018-03-19",61,1,0,16,5,83
"Harrow","16:00:00","2018-03-19",133,1,0,11,0,145
"Bexley","17:00:00","2018-03-19",451,4,22,58,0,535
"Enfield","17:00:00","2018-03-19",923,2,0,97,5,1027
"Haringey","17:00:00","2018-03-19",62,0,0,13,0,75
"Harrow","17:00:00","2018-03-19",109,2,0,8,0,119
"Bexley","18:00:00","2018-03-19",405,9,19,49,1,483
"Enfield","18:00:00","2018-03-19",866,5,1,54,1,927
"Haringey","18:00:00","2018-03-19",63,2,0,14,1,80
"Harrow","18:00:00","2018-03-19",84,1,0,11,0,96
"Hillingdon","07:00:00","2018-03-20",37,0,1,10,1,49
"Hillingdon","08:00:00","2018-03-20",115,0,1,6,0,122
"Hillingdon","09:00:00","2018-03-20",25,0,0,9,1,35
"Hillingdon","10:00:00","2018-03-20",19,0,0,1,1,21
"Hillingdon","11:00:00","2018-03-20",30,0,0,9,2,41
"Hillingdon","12:00:00","2018-03-20",33,0,0,0,3,36
"Hillingdon","13:00:00","2018-03-20",22,0,0,4,2,28
"Hillingdon","14:00:00","2018-03-20",22,0,0,5,0,27
"Hillingdon","15:00:00","2018-03-20",81,0,1,7,0,89
"Hillingdon","16:00:00","2018-03-20",45,0,0,4,3,52
"Hillingdon","17:00:00","2018-03-20",55,0,0,4,1,60
"Hillingdon","18:00:00","2018-03-20",42,0,1,5,1,49
"Hackney","07:00:00","2018-03-21",25,0,0,6,0,31
"Hammersmith and Fulham","07:00:00","2018-03-21",37,2,0,3,0,42
"Lewisham","07:00:00","2018-03-21",694,20,14,224,22,974
"Sutton","07:00:00","2018-03-21",624,22,51,150,8,855
"Hackney","08:00:00","2018-03-21",35,1,1,10,1,48
"Hammersmith and Fulham","08:00:00","2018-03-21",81,2,0,13,1,97
"Lewisham","08:00:00","2018-03-21",791,14,10,171,28,1014
"Sutton","08:00:00","2018-03-21",709,8,48,81,3,849
"Hackney","09:00:00","2018-03-21",25,2,0,11,1,39
"Hammersmith and Fulham","09:00:00","2018-03-21",47,3,0,7,1,58
"Lewisham","09:00:00","2018-03-21",698,7,17,168,25,915
"Sutton","09:00:00","2018-03-21",491,12,49,83,6,641
"Hackney","10:00:00","2018-03-21",27,0,0,9,2,38
"Hammersmith and Fulham","10:00:00","2018-03-21",34,0,0,11,0,45
"Lewisham","10:00:00","2018-03-21",636,12,10,170,29,857
"Sutton","10:00:00","2018-03-21",516,3,50,73,9,651
"Hackney","11:00:00","2018-03-21",32,1,0,12,1,46
"Hammersmith and Fulham","11:00:00","2018-03-21",28,1,0,13,1,43
"Lewisham","11:00:00","2018-03-21",662,11,15,218,26,932
"Sutton","11:00:00","2018-03-21",560,5,47,68,10,690
"Hackney","12:00:00","2018-03-21",27,1,0,12,1,41
"Hammersmith and Fulham","12:00:00","2018-03-21",24,0,0,6,0,30
"Lewisham","12:00:00","2018-03-21",747,11,12,203,23,996
"Sutton","12:00:00","2018-03-21",491,5,45,75,11,627
"Hackney","13:00:00","2018-03-21",30,2,0,14,2,48
"Hammersmith and Fulham","13:00:00","2018-03-21",32,0,0,8,1,41
"Lewisham","13:00:00","2018-03-21",637,8,10,208,17,880
"Sutton","13:00:00","2018-03-21",516,9,44,86,7,662
"Hackney","14:00:00","2018-03-21",26,3,0,10,0,39
"Hammersmith and Fulham","14:00:00","2018-03-21",32,1,0,15,1,49
"Lewisham","14:00:00","2018-03-21",733,7,15,197,30,982
"Sutton","14:00:00","2018-03-21",494,6,41,91,1,633
"Hackney","15:00:00","2018-03-21",34,2,0,13,0,49
"Hammersmith and Fulham","15:00:00","2018-03-21",57,1,0,9,0,67
"Lewisham","15:00:00","2018-03-21",828,25,16,189,15,1073
"Sutton","15:00:00","2018-03-21",595,3,51,103,3,755
"Hackney","16:00:00","2018-03-21",45,1,2,11,1,60
"Hammersmith and Fulham","16:00:00","2018-03-21",52,1,0,12,1,66
"Lewisham","16:00:00","2018-03-21",804,35,15,194,11,1059
"Sutton","16:00:00","2018-03-21",694,11,42,118,5,870
"Hackney","17:00:00","2018-03-21",28,1,0,13,3,45
"Hammersmith and Fulham","17:00:00","2018-03-21",45,1,0,5,0,51
"Lewisham","17:00:00","2018-03-21",957,25,16,168,3,1169
"Sutton","17:00:00","2018-03-21",704,24,35,72,2,837
"Hackney","18:00:00","2018-03-21",33,1,1,10,0,45
"Hammersmith and Fulham","18:00:00","2018-03-21",61,6,0,4,0,71
"Lewisham","18:00:00","2018-03-21",975,31,14,147,10,1177
"Sutton","18:00:00","2018-03-21",721,37,51,73,0,882
"Sutton","07:00:00","2018-03-22",241,1,6,39,3,290
"Sutton","08:00:00","2018-03-22",353,3,7,40,6,409
"Sutton","09:00:00","2018-03-22",260,1,9,40,3,313
"Sutton","10:00:00","2018-03-22",320,2,10,38,6,376
"Sutton","11:00:00","2018-03-22",257,3,7,29,5,301
"Sutton","12:00:00","2018-03-22",284,4,10,31,4,333
"Sutton","13:00:00","2018-03-22",346,3,9,34,6,398
"Sutton","14:00:00","2018-03-22",257,3,6,35,2,303
"Sutton","15:00:00","2018-03-22",250,5,9,39,0,303
"Sutton","16:00:00","2018-03-22",380,5,9,41,0,435
"Sutton","17:00:00","2018-03-22",347,9,8,43,2,409
"Sutton","18:00:00","2018-03-22",401,7,10,35,1,454
"Croydon","07:00:00","2018-03-23",182,0,0,33,2,217
"Ealing","07:00:00","2018-03-23",42,0,0,9,0,51
"Hillingdon","07:00:00","2018-03-23",65,1,0,11,1,78
"Lambeth","07:00:00","2018-03-23",38,1,0,9,1,49
"Croydon","08:00:00","2018-03-23",203,1,0,18,2,224
"Ealing","08:00:00","2018-03-23",83,1,0,13,0,97
"Hillingdon","08:00:00","2018-03-23",122,0,0,16,1,139
"Lambeth","08:00:00","2018-03-23",79,2,0,8,0,89
"Croydon","09:00:00","2018-03-23",97,0,0,18,3,118
"Ealing","09:00:00","2018-03-23",59,1,0,2,1,63
"Hillingdon","09:00:00","2018-03-23",57,1,0,17,1,76
"Lambeth","09:00:00","2018-03-23",50,1,0,5,1,57
"Croydon","10:00:00","2018-03-23",70,4,0,11,0,85
"Ealing","10:00:00","2018-03-23",46,0,0,6,0,52
"Hillingdon","10:00:00","2018-03-23",49,0,0,6,0,55
"Lambeth","10:00:00","2018-03-23",30,0,0,6,0,36
"Croydon","11:00:00","2018-03-23",77,0,0,22,2,101
"Ealing","11:00:00","2018-03-23",43,0,0,5,0,48
"Hillingdon","11:00:00","2018-03-23",63,2,0,14,0,79
"Lambeth","11:00:00","2018-03-23",33,1,0,14,1,49
"Croydon","12:00:00","2018-03-23",71,0,0,21,5,97
"Ealing","12:00:00","2018-03-23",53,2,0,8,0,63
"Hillingdon","12:00:00","2018-03-23",69,0,0,8,0,77
"Lambeth","12:00:00","2018-03-23",38,1,0,7,0,46
"Croydon","13:00:00","2018-03-23",82,0,0,18,2,102
"Ealing","13:00:00","2018-03-23",48,1,0,6,0,55
"Hillingdon","13:00:00","2018-03-23",68,1,0,12,0,81
"Lambeth","13:00:00","2018-03-23",36,1,0,2,0,39
"Croydon","14:00:00","2018-03-23",96,0,0,12,0,108
"Ealing","14:00:00","2018-03-23",51,4,0,10,0,65
"Hillingdon","14:00:00","2018-03-23",95,0,0,9,1,105
"Lambeth","14:00:00","2018-03-23",29,1,0,5,0,35
"Croydon","15:00:00","2018-03-23",107,0,0,13,0,120
"Ealing","15:00:00","2018-03-23",105,0,0,15,0,120
"Hillingdon","15:00:00","2018-03-23",131,0,0,3,0,134
"Lambeth","15:00:00","2018-03-23",42,0,0,8,2,52
"Croydon","16:00:00","2018-03-23",135,1,0,21,1,158
"Ealing","16:00:00","2018-03-23",145,2,0,32,0,179
"Hillingdon","16:00:00","2018-03-23",110,0,0,4,0,114
"Lambeth","16:00:00","2018-03-23",39,2,0,5,0,46
"Croydon","17:00:00","2018-03-23",122,1,0,19,0,142
"Ealing","17:00:00","2018-03-23",191,6,0,31,0,228
"Hillingdon","17:00:00","2018-03-23",92,3,0,13,0,108
"Lambeth","17:00:00","2018-03-23",35,6,0,4,0,45
"Croydon","18:00:00","2018-03-23",123,2,0,8,0,133
"Ealing","18:00:00","2018-03-23",176,2,0,14,0,192
"Hillingdon","18:00:00","2018-03-23",117,0,0,8,0,125
"Lambeth","18:00:00","2018-03-23",37,7,0,2,0,46
"Bromley","07:00:00","2018-04-16",75,3,7,9,0,94
"Croydon","07:00:00","2018-04-16",506,6,11,91,2,616
"Enfield","07:00:00","2018-04-16",5768,121,46,1994,543,8472
"Hackney","07:00:00","2018-04-16",486,14,102,130,23,755
"Hammersmith and Fulham","07:00:00","2018-04-16",790,60,48,193,37,1128
"Hillingdon","07:00:00","2018-04-16",1398,19,54,252,31,1754
"Lewisham","07:00:00","2018-04-16",49,0,0,6,0,55
"Merton","07:00:00","2018-04-16",270,6,0,52,1,329
"Tower Hamlets","07:00:00","2018-04-16",473,25,78,216,16,808
"Wandsworth","07:00:00","2018-04-16",3043,244,9,800,103,4199
"Westminster","07:00:00","2018-04-16",42,5,0,16,1,64
"Bromley","08:00:00","2018-04-16",123,1,7,9,0,140
"Croydon","08:00:00","2018-04-16",593,5,12,67,0,677
"Enfield","08:00:00","2018-04-16",5362,94,39,1565,557,7617
"Hackney","08:00:00","2018-04-16",580,27,93,197,43,940
"Hammersmith and Fulham","08:00:00","2018-04-16",939,80,44,212,42,1317
"Hillingdon","08:00:00","2018-04-16",1415,31,53,238,22,1759
"Lewisham","08:00:00","2018-04-16",70,0,0,7,0,77
"Merton","08:00:00","2018-04-16",285,5,0,48,2,340
"Tower Hamlets","08:00:00","2018-04-16",637,30,58,251,42,1018
"Wandsworth","08:00:00","2018-04-16",2885,304,9,616,134,3948
"Westminster","08:00:00","2018-04-16",91,2,1,21,3,118
"Bromley","09:00:00","2018-04-16",63,1,5,10,0,79
"Croydon","09:00:00","2018-04-16",519,10,11,69,7,616
"Enfield","09:00:00","2018-04-16",4490,73,45,1420,640,6668
"Hackney","09:00:00","2018-04-16",503,24,82,151,54,814
"Hammersmith and Fulham","09:00:00","2018-04-16",865,58,42,225,43,1233
"Hillingdon","09:00:00","2018-04-16",1079,25,49,217,40,1410
"Lewisham","09:00:00","2018-04-16",50,0,0,11,0,61
"Merton","09:00:00","2018-04-16",199,4,0,50,0,253
"Tower Hamlets","09:00:00","2018-04-16",587,36,61,226,49,959
"Wandsworth","09:00:00","2018-04-16",2515,140,13,625,144,3437
"Westminster","09:00:00","2018-04-16",77,3,0,24,0,104
"Bromley","10:00:00","2018-04-16",50,0,7,13,0,70
"Croydon","10:00:00","2018-04-16",319,8,9,53,3,392
"Enfield","10:00:00","2018-04-16",3955,41,34,1384,655,6069
"Hackney","10:00:00","2018-04-16",499,23,93,190,51,856
"Hammersmith and Fulham","10:00:00","2018-04-16",767,58,34,229,38,1126
"Hillingdon","10:00:00","2018-04-16",1210,21,50,235,50,1566
"Lewisham","10:00:00","2018-04-16",43,1,0,17,0,61
"Merton","10:00:00","2018-04-16",182,2,0,51,3,238
"Tower Hamlets","10:00:00","2018-04-16",550,31,61,263,39,944
"Wandsworth","10:00:00","2018-04-16",2205,78,9,590,159,3041
"Westminster","10:00:00","2018-04-16",82,5,0,24,1,112
"Bromley","11:00:00","2018-04-16",66,1,5,11,0,83
"Croydon","11:00:00","2018-04-16",344,6,10,64,2,426
"Enfield","11:00:00","2018-04-16",3939,63,38,1441,669,6150
"Hackney","11:00:00","2018-04-16",490,23,89,207,58,867
"Hammersmith and Fulham","11:00:00","2018-04-16",814,40,37,212,31,1134
"Hillingdon","11:00:00","2018-04-16",1406,21,49,263,61,1800
"Lewisham","11:00:00","2018-04-16",47,0,0,15,3,65
"Merton","11:00:00","2018-04-16",167,2,0,41,1,211
"Tower Hamlets","11:00:00","2018-04-16",523,29,62,227,52,893
"Wandsworth","11:00:00","2018-04-16",2199,63,7,654,165,3088
"Westminster","11:00:00","2018-04-16",76,13,0,23,0,112
"Bromley","12:00:00","2018-04-16",54,2,7,9,0,72
"Croydon","12:00:00","2018-04-16",388,6,11,51,5,461
"Enfield","12:00:00","2018-04-16",4132,60,39,1468,662,6361
"Hackney","12:00:00","2018-04-16",504,27,71,182,56,840
"Hammersmith and Fulham","12:00:00","2018-04-16",724,57,31,202,34,1048
"Hillingdon","12:00:00","2018-04-16",1374,23,44,240,49,1730
"Lewisham","12:00:00","2018-04-16",31,1,0,15,1,48
"Merton","12:00:00","2018-04-16",152,3,0,41,0,196
"Tower Hamlets","12:00:00","2018-04-16",518,35,67,227,40,887
"Wandsworth","12:00:00","2018-04-16",2317,68,5,630,174,3194
"Westminster","12:00:00","2018-04-16",76,17,0,26,0,119
"Bromley","13:00:00","2018-04-16",62,0,7,17,0,86
"Croydon","13:00:00","2018-04-16",378,5,10,69,5,467
"Enfield","13:00:00","2018-04-16",4274,64,38,1401,636,6413
"Hackney","13:00:00","2018-04-16",508,31,86,200,49,874
"Hammersmith and Fulham","13:00:00","2018-04-16",777,56,30,206,30,1099
"Hillingdon","13:00:00","2018-04-16",1703,22,55,229,37,2046
"Lewisham","13:00:00","2018-04-16",40,2,0,6,1,49
"Merton","13:00:00","2018-04-16",158,4,0,34,2,198
"Tower Hamlets","13:00:00","2018-04-16",591,45,62,190,32,920
"Wandsworth","13:00:00","2018-04-16",2337,96,6,592,136,3167
"Westminster","13:00:00","2018-04-16",68,17,1,26,2,114
"Bromley","14:00:00","2018-04-16",52,1,6,12,0,71
"Croydon","14:00:00","2018-04-16",451,8,12,77,3,551
"Enfield","14:00:00","2018-04-16",4581,45,40,1482,596,6744
"Hackney","14:00:00","2018-04-16",506,30,88,194,42,860
"Hammersmith and Fulham","14:00:00","2018-04-16",882,62,39,205,22,1210
"Hillingdon","14:00:00","2018-04-16",1724,33,47,238,29,2071
"Lewisham","14:00:00","2018-04-16",35,1,0,10,1,47
"Merton","14:00:00","2018-04-16",167,3,0,30,1,201
"Tower Hamlets","14:00:00","2018-04-16",653,40,67,215,36,1011
"Wandsworth","14:00:00","2018-04-16",2558,87,8,635,123,3411
"Westminster","14:00:00","2018-04-16",74,19,0,14,0,107
"Bromley","15:00:00","2018-04-16",78,0,5,12,0,95
"Croydon","15:00:00","2018-04-16",591,16,8,70,0,685
"Enfield","15:00:00","2018-04-16",4665,80,37,1595,512,6889
"Hackney","15:00:00","2018-04-16",525,29,86,159,31,830
"Hammersmith and Fulham","15:00:00","2018-04-16",971,67,39,202,26,1305
"Hillingdon","15:00:00","2018-04-16",1749,25,44,204,28,2050
"Lewisham","15:00:00","2018-04-16",49,3,0,9,1,62
"Merton","15:00:00","2018-04-16",209,4,0,31,1,245
"Tower Hamlets","15:00:00","2018-04-16",669,39,59,222,26,1015
"Wandsworth","15:00:00","2018-04-16",2824,88,15,793,109,3829
"Westminster","15:00:00","2018-04-16",85,14,1,21,3,124
"Bromley","16:00:00","2018-04-16",78,2,6,27,0,113
"Croydon","16:00:00","2018-04-16",595,15,13,79,1,703
"Enfield","16:00:00","2018-04-16",5741,120,42,1664,299,7866
"Hackney","16:00:00","2018-04-16",610,60,81,199,26,976
"Hammersmith and Fulham","16:00:00","2018-04-16",1038,72,40,204,15,1369
"Hillingdon","16:00:00","2018-04-16",1831,25,54,169,26,2105
"Lewisham","16:00:00","2018-04-16",60,7,0,14,0,81
"Merton","16:00:00","2018-04-16",251,6,0,37,0,294
"Tower Hamlets","16:00:00","2018-04-16",630,56,57,184,14,941
"Wandsworth","16:00:00","2018-04-16",3216,167,14,723,64,4184
"Westminster","16:00:00","2018-04-16",70,13,1,15,2,101
"Bromley","17:00:00","2018-04-16",96,2,5,17,0,120
"Croydon","17:00:00","2018-04-16",652,21,8,78,0,759
"Enfield","17:00:00","2018-04-16",6184,136,30,1381,208,7939
"Hackney","17:00:00","2018-04-16",635,96,84,146,18,979
"Hammersmith and Fulham","17:00:00","2018-04-16",1039,114,39,114,10,1316
"Hillingdon","17:00:00","2018-04-16",1619,33,46,152,18,1868
"Lewisham","17:00:00","2018-04-16",68,5,0,11,0,84
"Merton","17:00:00","2018-04-16",300,8,0,41,0,349
"Tower Hamlets","17:00:00","2018-04-16",685,62,59,132,16,954
"Wandsworth","17:00:00","2018-04-16",3477,273,12,578,56,4396
"Westminster","17:00:00","2018-04-16",83,30,0,16,0,129
"Bromley","18:00:00","2018-04-16",88,0,7,7,0,102
"Croydon","18:00:00","2018-04-16",571,20,11,62,1,665
"Enfield","18:00:00","2018-04-16",5480,115,33,951,176,6755
"Hackney","18:00:00","2018-04-16",712,72,76,110,12,982
"Hammersmith and Fulham","18:00:00","2018-04-16",1090,113,37,96,7,1343
"Hillingdon","18:00:00","2018-04-16",1695,32,49,173,10,1959
"Lewisham","18:00:00","2018-04-16",63,2,0,5,0,70
"Merton","18:00:00","2018-04-16",302,14,0,31,0,347
"Tower Hamlets","18:00:00","2018-04-16",714,46,65,96,7,928
"Westminster","18:00:00","2018-04-16",85,30,0,8,0,123
"Brent","07:00:00","2018-04-17",482,20,33,126,11,672
"Ealing","07:00:00","2018-04-17",322,5,17,64,7,415
"Enfield","07:00:00","2018-04-17",617,27,33,124,35,836
"Hillingdon","07:00:00","2018-04-17",1181,21,17,220,9,1448
"Merton","07:00:00","2018-04-17",1466,59,39,357,20,1941
"Redbridge","07:00:00","2018-04-17",1145,23,14,260,11,1453
"Waltham Forest","07:00:00","2018-04-17",598,25,15,145,28,811
"Brent","08:00:00","2018-04-17",557,19,15,70,12,673
"Ealing","08:00:00","2018-04-17",460,4,21,66,5,556
"Enfield","08:00:00","2018-04-17",777,18,36,159,19,1009
"Hillingdon","08:00:00","2018-04-17",1160,16,15,164,10,1365
"Merton","08:00:00","2018-04-17",1344,42,44,267,33,1730
"Redbridge","08:00:00","2018-04-17",1182,23,10,189,20,1424
"Waltham Forest","08:00:00","2018-04-17",502,19,10,123,18,672
"Brent","09:00:00","2018-04-17",447,12,20,82,18,579
"Ealing","09:00:00","2018-04-17",311,5,21,73,11,421
"Enfield","09:00:00","2018-04-17",700,19,34,147,21,921
"Hillingdon","09:00:00","2018-04-17",1027,17,12,179,32,1267
"Merton","09:00:00","2018-04-17",1133,23,37,221,35,1449
"Redbridge","09:00:00","2018-04-17",1001,13,8,179,21,1222
"Waltham Forest","09:00:00","2018-04-17",429,16,16,82,23,566
"Brent","10:00:00","2018-04-17",392,7,17,87,15,518
"Ealing","10:00:00","2018-04-17",303,6,20,65,7,401
"Enfield","10:00:00","2018-04-17",589,10,30,116,28,773
"Hillingdon","10:00:00","2018-04-17",982,10,12,218,23,1245
"Merton","10:00:00","2018-04-17",956,23,40,209,49,1277
"Redbridge","10:00:00","2018-04-17",903,16,6,167,21,1113
"Waltham Forest","10:00:00","2018-04-17",373,13,10,95,35,526
"Brent","11:00:00","2018-04-17",359,10,12,99,22,502
